name,category,n_reviews,address,website,phone,city,price
Hotel City Lugano,Hotel de 4 estrellas,448,"Via Giuseppe Bagutti 4, 6900 Lugano, Suiza",hotelcitylugano.ch,+41 91 222 09 00,"Lugano, Suiza",213€
GuestHouse Lugano Center,Alojamiento de autoservicio,617,"Via Silvio Calloni 2, 6900 Lugano, Suiza",luganoguesthouse.com,+41 91 601 04 37,"Lugano, Suiza",98€
Locanda Gandriese,Restaurante · ,522,"Via Silvio Calloni 2, 6900 Lugano, Suiza",luganoguesthouse.com,+41 91 601 04 37,"Lugano, Suiza",98€
Hotel De La Paix Lugano,Hotel selecto con alta cocina y piscina,1203,"Via Giuseppe Cattori 18, 6900 Lugano, Suiza",delapaix.ch,+41 91 960 60 60,"Lugano, Suiza",222€
Hotel Acquarello Swiss Quality,Hotel,451,"Piazza Cioccaro 9, 6900 Lugano, Suiza",acquarello.ch,+41 91 911 68 68,"Lugano, Suiza",169€
Albergo Ristorante La Palma,Hotel de 3 estrellas,655,"Piazza Francesco Borromini, 6816 Bissone, Suiza",palmabissone.ch,+41 91 649 84 06,"Bissone, Suiza",167€
Hotel Zurigo Downtown,Hotel de 3 estrellas,263,"Corso Enrico Pestalozzi 13, 6900 Lugano, Suiza",hotelzurigo.ch,+41 91 923 43 43,"Lugano, Suiza",225€
Hotel Besso Lugano,Hotel de 2 estrellas urbano con vistas a la montaña,338,"Via Besso 24, 6900 Lugano, Suiza",hotelbesso.ch,+41 91 967 23 12,"Lugano, Suiza",162€
Park Hotel Principe - Collina d'Oro,Hotel de 4 estrellas,262,"Via Montalbano 19, 6900 Lugano, Suiza",parkhotelprincipe.com,+41 91 985 86 43,"Lugano, Suiza",191€
Lugano Centre Room,Pensión,73,"Via Miravalle 8, 6900 Massagno, Suiza",NO_WEBSITE,NO_PHONE,NO_CITY,91€
Bigatt Hotel & Restaurant,Hotel de 3 estrellas tranquilo con restaurante y piscina,276,"Via Carona 41, 6900 Paradiso, Suiza",bigatt.ch,+41 91 985 28 80,"Paradiso, Suiza",255€
GABBANI HOTEL,Hotel,231,"Piazza Cioccaro 1, 6900 Lugano, Suiza",gabbani.com,+41 91 921 34 70,"Lugano, Suiza",254€
Atlantico Hôtel garni,Hotel de 3 estrellas,207,"Via Concordia 12, 6900 Lugano, Suiza",atlantico-lugano.ch,+41 91 971 29 21,"Lugano, Suiza",230€
Al Boccalino,Hotel,160,"Via Francesco Borromini 27, 6815 Melide, Suiza",alboccalino.ch,+41 91 649 77 67,"Melide, Suiza",146€
Hotel Villa Carona,Hotel de 3 estrellas,155,"Via Principale 53, 6914 Lugano, Suiza",villacarona.ch,+41 91 649 70 55,"Lugano, Suiza",286€
Lac Hotel Melide,Hotel informal con vistas al lago y bar,133,"lungo lago G.Motta 9, 6815 Melide, Suiza",lachotel.ch,+41 91 649 70 41,"Melide, Suiza",231€
B5 Boutique Hotel Lugano,Hotel,13,"Via Francesco Borromini 5, 6900 Lugano, Suiza",b5hotel.ch,+41 91 966 33 70,"Lugano, Suiza",247€
Colibrì,Hotel de 3 estrellas,373,"Via Aldesago 91, 6974 Lugano, Suiza",hotelcolibri.ch,+41 91 971 42 42,"Lugano, Suiza",293€
Resort Collina d'Oro,Complejo hotelero,353,"Via Roncone 22, 6927 Collina d'Oro, Suiza",resortcollinadoro.com,+41 91 641 11 11,"Collina d'Oro, Suiza",372€
Locanda Castagnola / Hotel,HotelAlojamiento sencillo con restaurante,141,"Contrada Vecchio Municipio 1, 6976 Castagnola, Suiza",locandacastagnola.ch,NO_PHONE,NO_CITY,163€
Swiss Hotel Apartments - Lugano,Hotel,45,"Corso Elvezia 35, 6900 Lugano, Suiza",swisshotelapartments.ch,+41 79 781 99 99,"Lugano, Suiza",425€
Bed & Breakfast Regina (Agno),Bed & Breakfast,46,"Piazza Natale Vicari 15, 6982 Agno, Suiza",stayregina.ch,+41 78 422 85 82,"Agno, Suiza",145€
Salotto Brè Bed & Breakfast,Bed & Breakfast,2,"Via Brè 46, 6979 Brè sopra Lugano, Suiza",salotto-bre.ch,+41 79 551 13 37,"Lugano, Suiza",191€
Albergo Gardenia,Hotel de 3 estrellas,118,"Via Valle 20, 6987 Caslano, Suiza",garni-gardenia.ch,+41 91 611 82 11,"Caslano, Suiza",236€
Lugano Apartments,Hotel de larga estancia,17,"Via Valletta 1, 6900 Lugano, Suiza",luganoapartments.com,+41 91 601 04 37,"Lugano, Suiza",132€
7 Rooms Grancia - Camere in affitto,Alojamiento en interioresCasa de huéspedes sencilla con Wi-Fi y aparcamiento,83,"Via alla Chiesa 6, 6916 Grancia, Suiza",7roomsgrancia.ch,+41 76 595 69 16,"Grancia, Suiza",123€
Casale Della Vite,Restaurante · Abierto ⋅ Cierra a las 23:30,125,"Via Stazione 22, 6983 Magliaso, Suiza",it-it.facebook.com,+41 91 600 97 14,"Magliaso, Suiza",91€
Villa Selva,Hotel de 2 estrellas,127,"Via Tesserete 36, 6900 Massagno, Suiza",villaselva.ch,+41 91 923 60 17,"Massagno, Suiza",272€
Hotel Vezia,Hotel de 3 estrellas,426,"Via S. Gottardo 32, 6943 Vezia, Suiza",hotelvezia.ch,+41 91 966 36 31,"Vezia, Suiza",147€
