name,category,city,email,address,website,phone,price,n_reviews
Boutique Hotel / Restaurant / Bar Bären Ringgenberg,Hotel,"Ringgenberg, Suiza",hotel@Baeren-ringgenberg.ch,"Hauptstrasse 128, 3852 Ringgenberg, Suiza",baeren-ringgenberg.ch,+41 33 822 19 31,163,260
Hotel Grindelwalderhof,Hotel de 3 estrellas informal con desayuno gratuito,"Grindelwald, Suiza",info@grindelwalderhof.ch,"Dorfstrasse 155, 3818 Grindelwald, Suiza",grindelwalderhof.ch,+41 33 854 40 10,353,491
BERGWELT GRINDELWALD | ALPINE DESIGN RESORT,Hotel de 4 estrellas,"Grindelwald, Suiza",welcome@bergwelt-grindelwald.com,"Bergwelt 4, 3818 Grindelwald, Suiza",bergwelt-grindelwald.com,+41 33 854 85 85,444,625
Sunstar Hotel Grindelwald,Hotel de 4 estrellas,"Grindelwald, Suiza",grindelwald@sunstar.ch,"Dorfstrasse 168, 3818 Grindelwald, Suiza",grindelwald.sunstar.ch,+41 33 854 77 77,588,1029
Romantik Hotel Schweizerhof Grindelwald,Hotel de 5 estrellas,"Grindelwald, Suiza",info@hotel-schweizerhof.com,"Swiss Alp Resort 1, 3818 Grindelwald, Suiza",hotel-schweizerhof.com,+41 33 854 58 58,1522,380
Seehotel Bönigen,Hotel de 3 estrellas,"Bönigen, Suiza",info@seehotel-boenigen.ch,"Seestrasse 22, 3806 Bönigen, Suiza",seehotel-boenigen.ch,+41 33 827 07 70,261,374
EIGER LODGE,Lodge,"Grindelwald, Suiza",info@eigerlodge.ch,"Grundstrasse 58, 3818 Grindelwald, Suiza",eigerlodge.ch,+41 33 854 38 38,209,959
Valley Hostel,HotelAlbergue informal con vistas a la montaña,"Lauterbrunnen, Suiza",info@valleyhostel.ch,"Greifenbach 455g, 3822 Lauterbrunnen, Suiza",valleyhostel.ch,+41 33 855 20 08,0,693
Grand Hotel Beau Rivage,Hotel refinado junto al río con spa,"Interlaken, Suiza",info@grandbeaurivage.ch,"Höheweg 211, 3800 Interlaken, Suiza",grandbeaurivage.ch,+41 33 826 70 07,541,1147
"Alpina Boutique Hotel, Ringgenberg",Hotel,"Ringgenberg, Suiza",info@boutiquehotelalpina.ch,"Beundenstrasse 43, 3852 Ringgenberg, Suiza",boutiquehotelalpina.ch,+41 33 820 72 10,370,204
Hotel Schynige Platte,Hotel,"Wilderswil, Suiza",hotel.schynigeplatte@jungfrau.ch,"Berghotel Schynige Platte, 3812 Wilderswil, Suiza",hotelschynigeplatte.ch,+41 33 828 73 73,352,434
Central Hotel Wolter,Hotel de 3 estrellas,"Grindelwald, Suiza",fabrice@fabriceh.com,"Dorfstrasse 93, 3818 Grindelwald, Suiza",central-wolter.ch,+41 33 854 33 33,308,659
Hotel Alpenblick,Hotel de 3 estrellas,"Wilderswil, Suiza",info@hotel-alpenblick.ch,"Oberdorfstrasse 3, 3812 Wilderswil, Suiza",hotel-alpenblick.ch,+41 33 828 35 50,289,441
alpinebase,JugendherbergeAlbergue informal con vistas a la montaña,"Lauterbrunnen, Suiza",book@alpinebase.ch,"In der, Weid 209, 3822 Lauterbrunnen, Suiza",alpinebase.ch,+41 33 855 44 76,0,193
Waldhotel Unspunnen,Hotel de 2 estrellas,"Interlaken, Suiza",mail@waldhotel-interlaken.ch,"Wagnerenstrasse 15, 3800 Interlaken, Suiza",waldhotel-interlaken.ch,+41 33 822 34 91,260,369
The River Village Interlaken,Motel,NO_CITY,info@therivervillage.ch,"Brienzstrasse 42, 3800 Interlaken, Suiza",therivervillage.ch,+41 33 821 21 50,204,59
Hotel Bernerhof Grindelwald,Hotel de 3 estrellas acogedor con desayuno gratuito,"Grindelwald, Suiza",info@hotel-bernerhof-grindelwald.ch,"Dorfstrasse 89, 3818 Grindelwald, Suiza",hotel-bernerhof-grindelwald.ch,+41 33 853 10 21,289,263
Steinbock,Hotel,"Grindelwald, Suiza",hotel@steinbock-grindelwald.ch,"Dorfstrasse 189, 3818 Grindelwald, Suiza",steinbock-grindelwald.ch,+41 33 853 89 89,315,633
Swiss Hotel Apartments - Interlaken,Hotel,"Interlaken, Suiza",hello@swisshotelapartments.ch,"Untere Bönigstrasse 8, 3800 Interlaken, Suiza",swisshotelapartments.ch,+41 79 781 99 99,763,131
BASICROOMS HOTEL,Hotel,"Interlaken, Suiza",info@basicrooms.ch,"Hauptstrasse 44, 3800 Interlaken, Suiza",basicrooms.allbernhotels.com,+41 33 822 80 31,185,30
Hotel Zeit & Traum,Wellnesshotel,"Beatenberg, Suiza",info@zeithotel.ch,"Schmockenstrasse 205, 3803 Beatenberg, Suiza",zeithotel.ch,+41 79 555 03 45,471,343
