name,category,n_reviews,address,website,phone,city,price,email
Albergo Ristorante La Palma,Hotel de 3 estrellas,654,"Piazza Francesco Borromini, 6816 Bissone, Suiza",palmabissone.ch,+41 91 649 84 06,"Bissone, Suiza",184€,logo-la-palma-stelle@2x.png
Hotel De La Paix Lugano,Hotel selecto con alta cocina y piscina,1196,"Via Giuseppe Cattori 18, 6900 Lugano, Suiza",delapaix.ch,+41 91 960 60 60,"Lugano, Suiza",295€,booking@delapaix.ch
Colibrì,Hotel de 3 estrellas,371,"Via Aldesago 91, 6974 Lugano, Suiza",hotelcolibri.ch,+41 91 971 42 42,"Lugano, Suiza",200€,NO_EMAIL
GABBANI HOTEL,Hotel,231,"Piazza Cioccaro 1, 6900 Lugano, Suiza",gabbani.com,+41 91 921 34 70,"Lugano, Suiza",256€,info@hotel-gabbani.ch
Bigatt Hotel & Restaurant,Hotel de 3 estrellas tranquilo con restaurante y piscina,275,"Via Carona 41, 6900 Paradiso, Suiza",bigatt.ch,+41 91 985 28 80,"Paradiso, Suiza",266€,reservations@bigatt.ch
Lac Hotel Melide,Hotel informal con vistas al lago y bar,131,"lungo lago G.Motta 9, 6815 Melide, Suiza",lachotel.ch,+41 91 649 70 41,"Melide, Suiza",231€,core-js-bundle@3.2.1
Hotel Villa Carona,Hotel de 3 estrellas,154,"Via Principale 53, 6914 Lugano, Suiza",villacarona.ch,+41 91 649 70 55,"Lugano, Suiza",290€,info@villacarona.ch
Splendori Suite,Hotel,41,"Via Nassa 52, 6900 Lugano, Suiza",hotelsancarlolugano.ch,+41 91 922 71 07,"Lugano, Suiza",233€,NO_EMAIL
B5 Boutique Hotel Lugano,Hotel,10,"Via Francesco Borromini 5, 6900 Lugano, Suiza",b5hotel.ch,+41 91 966 33 70,"Lugano, Suiza",268€,ciao@B5hotel.ch
Ristorante Camino,Restaurante · ,92,"Via Massago 3, 6977 Ruvigliana, Suiza",rist-camino.ch,+41 91 211 01 50,"Lugano, Suiza",111€,Info@rist-camino.ch
Locanda Castagnola / Hotel,HotelAlojamiento sencillo con restaurante,138,"Contrada Vecchio Municipio 1, 6976 Castagnola, Suiza",locandacastagnola.ch,NO_PHONE,NO_CITY,164€,swiper@4.0.7
Resort Collina d'Oro,Complejo hotelero,351,"Via Roncone 22, 6927 Collina d'Oro, Suiza",resortcollinadoro.com,+41 91 641 11 11,"Collina d'Oro, Suiza",395€,info@resortcollinadoro.com
Bed & Breakfast Regina (Agno),Bed & Breakfast,45,"Piazza Natale Vicari 15, 6982 Agno, Suiza",stayregina.ch,+41 78 422 85 82,"Agno, Suiza",127€,reception@stayregina.ch
Youth Hostel Lugano Savosa,Ostello della gioventù,399,"Via Cantonale 13, 6942 Savosa, Suiza",youthhostel.ch,+41 91 966 27 28,"Savosa, Suiza",122€,NO_EMAIL
Grotto Flora B&B,Restaurante · ,337,"Via Municipio 8, 6927 Agra, Suiza",grottoflora.com,+41 91 994 15 67,"Agra, Collina d'Oro, Suiza",153€,grottoflora@hotmail.com
Swiss Hotel Apartments - Lugano,Hotel,44,"Corso Elvezia 35, 6900 Lugano, Suiza",swisshotelapartments.ch,+41 79 781 99 99,"Lugano, Suiza",486€,hello@swisshotelapartments.ch
Lido Seegarten,Hotel de 4 estrellas,673,"Viale Castagnola 22, 6900 Lugano, Suiza",hotellido-lugano.com,+41 91 973 63 63,"Lugano, Suiza",,info@hotellido-lugano.com
7 Rooms Grancia - Camere in affitto,Alojamiento en interioresCasa de huéspedes sencilla con Wi-Fi y aparcamiento,83,"Via alla Chiesa 6, 6916 Grancia, Suiza",7roomsgrancia.ch,+41 76 595 69 16,"Grancia, Suiza",124€,info@7roomsgrancia.ch
Salotto Brè Bed & Breakfast,Bed & Breakfast,2,"Via Brè 46, 6979 Brè sopra Lugano, Suiza",salotto-bre.ch,+41 79 551 13 37,"Lugano, Suiza",194€,NO_EMAIL
Casale Della Vite,Restaurante · Abierto ⋅ Cierra a las 23:30,125,"Via Stazione 22, 6983 Magliaso, Suiza",it-it.facebook.com,+41 91 600 97 14,"Magliaso, Suiza",92€,NO_EMAIL
Albergo Gardenia,Hotel de 3 estrellas,117,"Via Valle 20, 6987 Caslano, Suiza",garni-gardenia.ch,+41 91 611 82 11,"Caslano, Suiza",248€,info@garni-gardenia.ch
Lugano Apartments,Hotel de larga estancia,17,"Via Valletta 1, 6900 Lugano, Suiza",luganoapartments.com,+41 91 601 04 37,"Lugano, Suiza",153€,info@luganoapartments.com
Centro Magliaso,Hotel,206,"Via Bosconi 11, 6983 Magliaso, Suiza",centro-magliaso.ch,+41 91 606 14 41,"Magliaso, Suiza",223€,willkommen@centro-magliaso.ch
Hotel Vezia,Hotel de 3 estrellas,422,"Via S. Gottardo 32, 6943 Vezia, Suiza",hotelvezia.ch,+41 91 966 36 31,"Vezia, Suiza",169€,info@hotelvezia.ch
Ristorante le bucce di Gandria,Restaurante · Cerrado ⋅ Apertura: 19:00,222,"Via Cantonale, 6978 Lugano, Suiza",lebucce.com,+41 91 225 88 33,NO_CITY,138€,lebuccemv@gmail.com
