name,category,city,address,email,website,phone,price,n_reviews
morosani fiftyone,Hotel,"Davos, Suiza","Promenade 51, 7270 Davos, Suiza",reservations@morosani.ch,morosani.ch,+41 81 415 55 00,111,79
Precise Tale Seehof Davos Hotel,Hotel de 5 estrellas,"Davos, Suiza","Promenade 159, 7260 Davos, Suiza",info@precisehotels.com,precisehotels.com,+41 81 417 94 44,191,555
VIVA Hostel,Alojamiento · ,"Cuera, Suiza","Welschdörfli 19, 7000 Chur, Suiza",info@viva-hostel.ch,viva-hostel.ch,+41 79 836 05 24,86,266
Bogentrakt,Albergue,"Cuera, Suiza","Sennhofstrasse 19a, 7000 Chur, Suiza",hello@bogentrakt.ch,bogentrakt.ch,+41 81 250 19 21,89,424
Hotel Guarda Val,Hotel de 4 estrellas,"Lenzerheide, Vaz/Obervaz, Suiza","Sporz, Voa Sporz 85, 7078 Lenzerheide, Suiza",hotel@guardaval.ch,guardaval.ch,+41 81 385 85 85,238,620
Posthotel Valbella,Hotel,"Valbella, Vaz/Obervaz, Suiza","Voa Principala 11, 7077 Valbella, Suiza",info@posthotelvalbella.ch,posthotelvalbella.ch,+41 81 385 12 12,174,221
Les Chamois Arosa,Alojamiento · ,"Arosa, Suiza","See-Egg-Weg, 7050 Arosa, Suiza",info@les-chamois-arosa.ch,les-chamois-arosa.ch,+41 79 420 58 37,0,11
Hotel Parsenn,Hotel de 3 estrellas acogedor con restaurante y terraza,"Davos, Suiza","Promenade 152, 7260 Davos, Suiza",hotel@hotelparsenn.ch,hotelparsenn.ch,+41 81 416 32 32,151,287
Hotel Schweizerhof Lenzerheide,Hotel de 4 estrellas,"Lenzerheide, Vaz/Obervaz, Suiza","Voa Principala 39, 7078 Lenzerheide, Suiza",info@schweizerhof-lenzerheide.ch,schweizerhof-lenzerheide.ch,+41 81 385 25 25,301,970
AMERON Davos Swiss Mountain Resort,Hotel de 4 estrellas,"Davos, Suiza","Scalettastrasse 22, 7270 Davos, Suiza",information@ameronhotels.com,ameronhotels.com,+41 81 544 19 19,216,953
"Camping, RinerLodge, Maxon Pavillon",Camping · ,"Davos, Suiza","Landwasserstrasse 64, 7277 Davos, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 00 33,73,299
Turmhotel Victoria,Hotel de 4 estrellas,"Davos, Suiza","Alte Flüelastrasse 2, 7260 Davos, Suiza",hotel@victoria-davos.ch,victoria-davos.ch,+41 81 417 53 00,190,540
Hotel Lenzerhorn Spa & Wellness,Hotel de 4 estrellas,"Lenzerheide, Vaz/Obervaz, Suiza","Voa Principala 41, 7078 Lenzerheide, Suiza",welcome@hotel-lenzerhorn.ch,hotel-lenzerhorn.ch,+41 81 385 86 87,252,490
Hotel Restaurant Dieschen,Hotel de 3 estrellas básico con desayuno gratuito y spa,"Lenzerheide, Vaz/Obervaz, Suiza","Voa Plam-Nesa 2, 7078 Lenzerheide, Suiza",info@hotel-dieschen.ch,hotel-dieschen.ch,+41 81 385 20 22,196,257
Grischa – DAS Hotel Davos,Hotel de 4 estrellas,"Davos, Suiza","Talstrasse 3, 7270 Davos, Suiza",info@hotelgrischa.ch,hotelgrischa.ch,+41 81 414 97 97,226,564
Hotel Ochsen,Hotel de 3 estrellas,"Davos, Suiza","Talstrasse 10, 7270 Davos, Suiza",mountains@davosklosters.ch,davosklostersmountains.ch,+41 81 417 64 44,138,252
Morosani Schweizerhof,Hotel de 4 estrellas,"Davos, Suiza","Promenade 50, 7270 Davos, Suiza",reservations@morosani.ch,morosani.ch,+41 81 415 55 00,279,467
Hotel Europe Davos,Hotel de 4 estrellas,"Davos, Suiza","Promenade 63, 7270 Davos, Suiza",info@europe-davos.ch,europe-davos.ch,+41 81 415 41 41,186,436
Kessler's Kulm Hotel / Restaurant,Hotel de 3 estrellas · ,"Davos, Suiza","Prättigauerstrasse 32, 7265 Davos, Suiza",info@kesslerskulm.ch,kessler-kulm.ch,+41 81 417 07 07,149,826
Waldhotel Davos,Hotel de 4 estrellas,"Davos, Suiza","Buolstrasse 3, 7270 Davos Platz, Suiza",info@waldhotel-davos.ch,waldhotel-davos.ch,+41 81 415 15 15,237,202
Bernina Bed and Breakfast,Hotel,"Davos, Suiza","Promenade 18, 7270 Davos, Suiza",info@berninabedandbreakfast.ch,berninabedandbreakfast.ch,+41 81 410 03 63,206,38
Hotel Restaurant Alpenhof Davos,Hotel de 3 estrellas,"Davos, Suiza","Hofstrasse 22, 7270 Davos Platz, Suiza",hotel@alpenhof-davos.ch,alpenhof-davos.ch,+41 81 415 20 60,226,757
Berghotel Malixerhof,Hotel,"Malix, Churwalden, Suiza","Brambrüeschstrasse 204, 7074 Malix, Suiza",hallo@malixerhof.com,malixerhof.com,+41 81 420 30 00,100,68
Bestzeit Lifestyle & Sport Hotel,Hotel de 3 estrellas,"Parpan, Suiza","Oberbergstrasse 20, 7076 Parpan, Suiza",info@bestzeit.ch,bestzeit.ch,+41 81 354 00 54,200,196
Sonnenhalde Hotel & Restaurant,Hotel informal con restaurante sencillo,"Wiesen, Suiza","Obergasse 40, 7494 Wiesen, Suiza",info@sonnenhalde.com,sonnenhalde.com,+41 81 420 46 46,195,166
Hotel Bündnerhof,Hotel de 3 estrellas de gestión familiar y restaurante,"Davos, Suiza","Sportweg 3, 7270 Davos Platz, Suiza",info@buendnerhof.ch,buendnerhof.ch,+41 81 410 06 36,184,109
Hotel Drei Könige,Hotel,"Cuera, Suiza","Reichsgasse 18, 7000 Chur, Suiza",info@dreikoenige.ch,dreikoenige.ch,+41 81 354 90 90,144,404
Hotel Concordia,Hotel de 3 estrellas,"Davos, Suiza","Promenade 124, 7260 Davos, Suiza",hotel@hotelconcordia.ch,hotelconcordia.ch,+41 81 416 32 22,115,162
Hotel Dischma Davos,Hotel,"Davos, Suiza","Promenade 128, 7260 Davos Dorf, Suiza",hotel@dischma.ch,dischma.ch,+41 81 410 12 50,157,317
Hotel Schöntal,Hotel,"Filisur, Suiza","Bahnhofstrasse 5, 7477 Filisur, Suiza",contact@schoental.ch,schoental.ch,+41 81 404 21 72,138,102
Hotel Piz Buin Klosters,Hotel de 4 estrellas sofisticado con bistró y spa,"Klosters-Serneus, Suiza","Alte Bahnhofstrasse 1, 7250 Klosters-Serneus, Suiza",info@pizbuin-klosters.ch,pizbuin-klosters.ch,+41 81 423 33 33,228,530
Central Hotel Post Chur,Hotel de 3 estrellas,"Cuera, Suiza","Poststrasse 11, 7000 Chur, Suiza",hotel@postchur.ch,hotelpostchur.ch,+41 81 255 84 84,161,749
SOLARIA Serviced Apartments,Apartamento turísticoApartotel informal con barbacoas,"Davos, Suiza","Solariastrasse 4a, 7260 Davos, Suiza",info@solaria.ch,solaria.ch,+41 81 416 35 35,119,375
Hotel Vereina,Hotel de 4 estrellas,"Klosters-Serneus, Suiza","Landstrasse 179, 7250 Klosters-Serneus, Suiza",info@vereinaklosters.ch,vereinaklosters.ch,+41 81 410 27 27,454,148
Hotel & Restaurant La Tgoma,HotelPosada modesta con desayuno y Wi-Fi gratuitos,"Lantsch/Lenz, Suiza","Voia Principala 37, 7083 Lantsch/Lenz, Suiza",info@latgoma.ch,latgoma.ch,+41 81 681 12 78,140,192
