name,category,n_reviews,address,website,phone,city,price,email
Novotel Lugano Paradiso,Hotel de 4 estrellas,877,"Viale S. Salvatore 11, 6900 Paradiso, Suiza",all.accor.com,+41 91 985 09 09,"Paradiso, Suiza",310€,date-picker@1.4.0
LUGANODANTE - We Like You,Hotel de 4 estrellas sofisticado con coctelería,1011,"Piazza Cioccaro 5, 6900 Lugano, Suiza",luganodante.com,+41 91 910 57 00,"Lugano, Suiza",283€,info@luganodante.com
Hotel Federale Lugano,Hotel de 3 estrellas,724,"Via Paolo Regazzoni 8, 6900 Lugano, Suiza",hotel-federale.ch,+41 91 910 08 08,"Lugano, Suiza",257€,info@hotel-federale.ch
Best Western Hotel Bellevue au Lac,Hotel de 4 estrellas,349,"Riva Antonio Caccia 10, 6900 Lugano, Suiza",hotelbellevue.ch,+41 91 994 33 33,"Lugano, Suiza",292€,info@hotelbellevue.ch
Nassa,Hotel modesto con vistas al lago,343,"Via Nassa 60, 6900 Lugano, Suiza",NO_WEBSITE,NO_PHONE,NO_CITY,219€,
Grand Hotel Villa Castagnola,Hotel de 5 estrellas,708,"Viale Castagnola 31, 6900 Lugano, Suiza",villacastagnola.com,+41 91 973 25 55,"Lugano, Suiza",502€,NO_EMAIL
"Villa Sassa Hotel, Residence & Spa","Hotel de 4 estrellas con restaurante, piscinas y spa",1056,"Via Tesserete 10, 6900 Lugano, Suiza",villasassa.ch,+41 91 911 41 11,"Lugano, Suiza",359€,info@villasassa.ch
Nassa,Hotel modesto con vistas al lago,343,"Via Nassa 60, 6900 Lugano, Suiza",NO_WEBSITE,NO_PHONE,NO_CITY,219€,
Best Western Hotel Bellevue au Lac,Hotel de 4 estrellas,349,"Riva Antonio Caccia 10, 6900 Lugano, Suiza",hotelbellevue.ch,+41 91 994 33 33,"Lugano, Suiza",292€,info@hotelbellevue.ch
Lugano Centre Room,Pensión,72,"Via Miravalle 8, 6900 Massagno, Suiza",NO_WEBSITE,NO_PHONE,NO_CITY,80€,
Suitenhotel Parco Paradiso,Hotel de 4 estrellas,916,"Via Carona 27, 6900 Paradiso, Suiza",parco-paradiso.com,+41 91 993 11 11,"Paradiso, Suiza",317€,core-js-bundle@3.2.1
Hotel ibis Lugano Paradiso,Hotel de 3 estrellas,823,"Via Geretta 10A, 6900 Paradiso, Suiza",all.accor.com,+41 91 986 19 09,NO_CITY,179€,date-picker@1.4.0
Hotel Delfino Lugano,Hotel de 3 estrellas,860,"Hotel Delfino Lugano, Via Cassarinetta 6, 6900 Lugano, Suiza",hoteldelfinolugano.ch,+41 91 985 99 99,"Lugano, Suiza",240€,info@hoteldelfinolugano.ch
Hotel Campione,Hotel,339,"Via Campione 62, 6816 Bissone, Suiza",hotel-campione.ch,+41 91 640 16 16,"Bissone, Suiza",223€,info@hotel-campione.ch
GuestHouse Lugano Center,Alojamiento de autoservicio,614,"Via Silvio Calloni 2, 6900 Lugano, Suiza",luganoguesthouse.com,+41 91 601 04 37,"Lugano, Suiza",109€,info@luganoguesthouse.com
Colibrì,Hotel de 3 estrellas,371,"Via Aldesago 91, 6974 Lugano, Suiza",hotelcolibri.ch,+41 91 971 42 42,"Lugano, Suiza",140€,NO_EMAIL
Hotel City Lugano,Hotel de 4 estrellas,445,"Via Giuseppe Bagutti 4, 6900 Lugano, Suiza",hotelcitylugano.ch,+41 91 222 09 00,"Lugano, Suiza",241€,city@hotelcitylugano.ch
Hotel Acquarello Swiss Quality,Hotel,447,"Piazza Cioccaro 9, 6900 Lugano, Suiza",acquarello.ch,+41 91 911 68 68,"Lugano, Suiza",204€,info@acquarello.ch
Hotel Zurigo Downtown,Hotel de 3 estrellas,263,"Corso Enrico Pestalozzi 13, 6900 Lugano, Suiza",hotelzurigo.ch,+41 91 923 43 43,"Lugano, Suiza",230€,hotelzurigo@horizoncollection.ch
Albergo Ristorante La Palma,Hotel de 3 estrellas,653,"Piazza Francesco Borromini, 6816 Bissone, Suiza",palmabissone.ch,+41 91 649 84 06,"Bissone, Suiza",177€,logo-la-palma-stelle@2x.png
Hotel Besso Lugano,Hotel de 2 estrellas urbano con vistas a la montaña,334,"Via Besso 24, 6900 Lugano, Suiza",hotelbesso.ch,+41 91 967 23 12,"Lugano, Suiza",177€,info@hotelbesso.ch
Park Hotel Principe - Collina d'Oro,Hotel de 4 estrellas,261,"Via Montalbano 19, 6900 Lugano, Suiza",parkhotelprincipe.com,+41 91 985 86 43,"Lugano, Suiza",205€,info@parkhotelprincipe.com
GABBANI HOTEL,Hotel,231,"Piazza Cioccaro 1, 6900 Lugano, Suiza",gabbani.com,+41 91 921 34 70,"Lugano, Suiza",251€,info@hotel-gabbani.ch
Hotel De La Paix Lugano,Hotel selecto con alta cocina y piscina,1196,"Via Giuseppe Cattori 18, 6900 Lugano, Suiza",delapaix.ch,+41 91 960 60 60,"Lugano, Suiza",314€,booking@delapaix.ch
Bigatt Hotel & Restaurant,Hotel de 3 estrellas tranquilo con restaurante y piscina,275,"Via Carona 41, 6900 Paradiso, Suiza",bigatt.ch,+41 91 985 28 80,"Paradiso, Suiza",266€,reservations@bigatt.ch
Lac Hotel Melide,Hotel informal con vistas al lago y bar,131,"lungo lago G.Motta 9, 6815 Melide, Suiza",lachotel.ch,+41 91 649 70 41,"Melide, Suiza",235€,core-js-bundle@3.2.1
Hotel Villa Carona,Hotel de 3 estrellas,154,"Via Principale 53, 6914 Lugano, Suiza",villacarona.ch,+41 91 649 70 55,"Lugano, Suiza",290€,info@villacarona.ch
Splendori Suite,Hotel,41,"Via Nassa 52, 6900 Lugano, Suiza",hotelsancarlolugano.ch,+41 91 922 71 07,"Lugano, Suiza",256€,NO_EMAIL
Ristorante Camino,Restaurante · ,92,"Via Massago 3, 6977 Ruvigliana, Suiza",rist-camino.ch,+41 91 211 01 50,"Lugano, Suiza",111€,Info@rist-camino.ch
B5 Boutique Hotel Lugano,Hotel,9,"Via Francesco Borromini 5, 6900 Lugano, Suiza",b5hotel.ch,+41 91 966 33 70,"Lugano, Suiza",268€,ciao@B5hotel.ch
Locanda Castagnola / Hotel,HotelAlojamiento sencillo con restaurante,138,"Contrada Vecchio Municipio 1, 6976 Castagnola, Suiza",locandacastagnola.ch,NO_PHONE,NO_CITY,164€,swiper@4.0.7
Resort Collina d'Oro,Complejo hotelero,351,"Via Roncone 22, 6927 Collina d'Oro, Suiza",resortcollinadoro.com,+41 91 641 11 11,"Collina d'Oro, Suiza",394€,info@resortcollinadoro.com
Grotto Flora B&B,Restaurante · ,337,"Via Municipio 8, 6927 Agra, Suiza",grottoflora.com,+41 91 994 15 67,"Agra, Collina d'Oro, Suiza",153€,grottoflora@hotmail.com
Swiss Hotel Apartments - Lugano,Hotel,44,"Corso Elvezia 35, 6900 Lugano, Suiza",swisshotelapartments.ch,+41 79 781 99 99,"Lugano, Suiza",489€,hello@swisshotelapartments.ch
Lido Seegarten,Hotel de 4 estrellas,673,"Viale Castagnola 22, 6900 Lugano, Suiza",hotellido-lugano.com,+41 91 973 63 63,"Lugano, Suiza",,info@hotellido-lugano.com
Hotel Vezia,Hotel de 3 estrellas,422,"Via S. Gottardo 32, 6943 Vezia, Suiza",hotelvezia.ch,+41 91 966 36 31,"Vezia, Suiza",133€,info@hotelvezia.ch
