name,category,city,email,address,website,phone,price,n_reviews
Swisspeak Resorts Meiringen,Hotel,"Meiringen, Suiza",info@swisspeakresorts.com,"Allmendstrasse 3/24, 3860 Meiringen, Suiza",swisspeakresorts.com,+41 58 255 87 03,235,326
"Alpina Boutique Hotel, Ringgenberg",Hotel,"Ringgenberg, Suiza",info@boutiquehotelalpina.ch,"Beundenstrasse 43, 3852 Ringgenberg, Suiza",boutiquehotelalpina.ch,+41 33 820 72 10,369,204
Hotel Oberland,Hotel de 2 estrellas,"Lauterbrunnen, Suiza",info@hoteloberland.ch,"Auf der Fuhren 452B, 3822 Lauterbrunnen, Suiza",hoteloberland.ch,+41 33 855 12 41,410,626
Hotel Regina Wengen,Hotel de 4 estrellas,"Wengen, Lauterbrunnen, Suiza",reservation@hotelregina.ch,"Zentrum, 3823 Wengen BE, Suiza",hotelregina.ch,+41 33 856 58 58,489,278
Hotel Brienz,Hotel de 3 estrellas,"Brienz, Suiza",info@hotel-brienz.ch,"Hauptstrasse 254, 3855 Brienz, Suiza",hotel-brienz.ch,+41 33 951 35 51,260,288
Hotel Restaurant Bären - The Alpine Herb Hotel,Hotel de 3 estrellas,"Wengen, Lauterbrunnen, Suiza",info@baeren-wengen.ch,"Am Acher 1363, 3823 Wengen BE, Suiza",baeren-wengen.ch,+41 33 855 14 19,313,428
Grand Hotel Beau Rivage,Hotel refinado junto al río con spa,"Interlaken, Suiza",info@grandbeaurivage.ch,"Höheweg 211, 3800 Interlaken, Suiza",grandbeaurivage.ch,+41 33 826 70 07,542,1147
"Baeren Hotel, The Bear Inn",Hotel de 3 estrellas,"Wilderswil, Suiza",info@baeren.ch,"Oberdorfstrasse 1, 3812 Wilderswil, Suiza",baeren.ch,+41 33 827 02 02,167,554
Hotel Jungfrau,Hotel,"Lauterbrunnen, Suiza",info@jungfrau-lauterbrunnen.ch,"Fuhren 434, 3822 Lauterbrunnen, Suiza",jungfrau-lauterbrunnen.ch,+41 78 227 28 84,309,230
Hotel Schynige Platte,Hotel,"Wilderswil, Suiza",hotel.schynigeplatte@jungfrau.ch,"Berghotel Schynige Platte, 3812 Wilderswil, Suiza",hotelschynigeplatte.ch,+41 33 828 73 73,351,434
Eiger Mountain & Soul Resort,Hotel de 4 estrellas de lujo con spa y restaurantes,"Grindelwald, Suiza",resort@eiger-grindelwald.ch,"Dorfstrasse 133, 3818 Grindelwald, Suiza",eiger-grindelwald.ch,+41 33 854 31 31,0,1035
Hotel Alpenblick,Hotel de 3 estrellas,"Wilderswil, Suiza",info@hotel-alpenblick.ch,"Oberdorfstrasse 3, 3812 Wilderswil, Suiza",hotel-alpenblick.ch,+41 33 828 35 50,290,441
Hotel Falken,Hotel de 3 estrellas de 1895 con bar restaurante,"Wengen, Lauterbrunnen, Suiza",info@hotelfalken.com,"Waldbort, 3823 Wengen BE, Suiza",hotelfalken.com,+41 33 856 51 21,461,172
Hotel Schönegg,Hotel de 3 estrellas,"Wengen, Lauterbrunnen, Suiza",mail@hotel-schoenegg.ch,"Auf der Burg 1401c, 3823 Wengen BE, Suiza",hotel-schoenegg.ch,+41 33 855 34 22,379,232
Hotel Restaurant Weisses Kreuz,Restaurante · Hotel acogedor con restaurante y bar,NO_CITY,hotel@weisseskreuz-brienz.ch,"Hauptstrasse 143, 3855 Brienz, Suiza",weisseskreuz-brienz.ch,+41 33 952 20 20,231,537
Restaurant Hotel Walz,Hotel,"Brienz, Suiza",info@WalzBrienz.ch,"Hauptstrasse 102, 3855 Brienz, Suiza",walzbrienz.ch,+41 33 951 04 54,243,438
Salzano,Hotel de 3 estrellas,"Interlaken, Suiza",welcome@salzano.ch,"Seestrasse 108, 3800 Interlaken, Suiza",salzano.ch,+41 33 821 00 70,407,855
